Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Flora,Angiospermas,Asteraceae,Verbesina pseudoclaussenii,-,Criticamente em Perigo (CR),CR,Cerrado,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Asteraceae,Vernonanthura fagifolia,-,Vulneravel (VU),VU,Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Informacao nao disponivel,BA,2014
Flora,Angiospermas,Fabaceae,Vicia pampicola,-,Criticamente em Perigo (CR),CR,Pampa,Vazio,Sim,Sim,Nao,2,Sim,RS,2014
Flora,Angiospermas,Violaceae,Viola gracillima,-,Em Perigo (EN),EN,Mata Atlantica,Extracao de Madeira,,,,,,,2014
Fauna,Aves,Vireonidae,Vireo gracilirostris,Juruviara-de-noronha,Vulneravel (VU),VU,Ilha oceanica,Assentamento Humano:cidades; Especies Exoticas; Extracao Direta:Caca/Pesca,Sim,Sim,Nao,2,Sim,PE,2014
Flora,Angiospermas,Myristicaceae,Virola bicuhyba,Bicuiba; Bicuiba-branca; Bicuuba; Ocuiba,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Myristicaceae,Virola parvifolia,-,Vulneravel (VU),VU,Amazonia,Transporte Aquatico,Sim,Nao,Nao,2,Nao,AM,2014
Flora,Angiospermas,Myristicaceae,Virola surinamensis,mucuira; ucuuba; ucuuba-de-baixio; ucuuba-de-igapo,Vulneravel (VU),VU,Amazonia; Caatinga,Extracao de Madeira,,,,,,,2014
Flora,Angiospermas,Vochysiaceae,Vochysia angelica,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Vochysiaceae,Vochysia pygmaea,-,Em Perigo (EN),EN,Cerrado,Queimadas,Sim,Sim,Nao,2,Sim,BA; ES,2014
Flora,Angiospermas,Vochysiaceae,Vochysia santaluciae,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES,2014
Fauna,Invertebrados Terrestres,Riodinidae,Voltinia sanarita,Borboleta,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades,Sim,Sim,Nao,3,Sim,MG; RJ; SP,2014
Flora,Angiospermas,Fabaceae,Vouacapoua americana,-,Em Perigo (EN),EN,Amazonia,Extracao de Madeira,Sim,Nao,Nao,3,Informacao nao disponivel,AM; AP; MA; PA,2014
Flora,Angiospermas,Bromeliaceae,Vriesea altimontana,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Bromeliaceae,Vriesea altomacaensis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Bromeliaceae,Vriesea amadoi,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,ES,2014
Flora,Angiospermas,Bromeliaceae,Vriesea amethystina,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,ES; RJ,2014
Flora,Angiospermas,Bromeliaceae,Vriesea arachnoidea,-,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,MG; RJ,2014
Flora,Angiospermas,Bromeliaceae,Vriesea biguassuensis,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Informacao nao disponivel,SC,2014
